"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"PK - 03","Elementary","Unknown","03","PK","MAQUOKETA VALLEY COMM SCHOOL DISTRICT","JOHNSTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","99",
"06 - 08","Middle","Unknown","08","06","MAQUOKETA VALLEY COMM SCHOOL DISTRICT","MAQUOKETA VALLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","163",
"09 - 12","High","No","12","09","MAQUOKETA VALLEY COMM SCHOOL DISTRICT","MAQUOKETA VALLEY SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","218","No"
"07 - 12","Mixed","No","12","07","MARCUS-MERIDEN-CLEGHORN COMM SCHOOL DISTRICT","MARCUS-MERIDEN-CLEGHORN  JR/SR HIGH SCHOOL","public","2017","0","1","1","IA","173","HN"
"04 - 06","Mixed","Unknown","06","04","MARCUS-MERIDEN-CLEGHORN COMM SCHOOL DISTRICT","MARCUS-MERIDEN-CLEGHORN EAST ELEMENTARY","public","2017","1","0","1","IA","91",
"PK - 03","Elementary","Unknown","03","PK","MARCUS-MERIDEN-CLEGHORN COMM SCHOOL DISTRICT","MARCUS-MERIDEN-CLEGHORN PRIMARY","public","2017","1","0","0","IA","166",
"PK - 02","Elementary","Unknown","02","PK","MARION INDEPENDENT SCHOOL DISTRICT","EMERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","173",
"03 - 04","Elementary","Yes","04","03","MARION INDEPENDENT SCHOOL DISTRICT","FRANCIS MARION INTERMEDIATE SCHOOL","public","2017","1","0","0","IA","312","Yes"
"09 - 12","High","Yes","12","09","MARION INDEPENDENT SCHOOL DISTRICT","MARION HIGH SCHOOL","public","2017","0","1","0","IA","652","HY"
"KG - 12","Mixed","Yes","12","KG","MARION INDEPENDENT SCHOOL DISTRICT","MARION HOME SCHOOL","public","2017","1","1","1","IA","","Yes"
"KG - 02","Elementary","Unknown","02","KG","MARION INDEPENDENT SCHOOL DISTRICT","STARRY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","322",
"05 - 08","Mixed","Unknown","08","05","MARION INDEPENDENT SCHOOL DISTRICT","VERNON MIDDLE SCHOOL","public","2017","1","0","1","IA","604",
"PK - 04","Elementary","Yes","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","ANSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","360","Yes"
"07 - 08","Middle","Unknown","08","07","MARSHALLTOWN COMM SCHOOL DISTRICT","B R MILLER MIDDLE SCHOOL","public","2017","0","0","1","IA","726",
"PK - 04","Elementary","Unknown","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","FISHER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","422",
"PK - 04","Elementary","Unknown","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","FRANKLIN ELEMENTARY SCH","public","2017","1","0","0","IA","369",
"PK - 04","Elementary","Unknown","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","J C HOGLAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","381",
"05 - 06","Mixed","Unknown","06","05","MARSHALLTOWN COMM SCHOOL DISTRICT","LENIHAN INTERMEDIATE SCHOOL","public","2017","1","0","1","IA","697",
"09 - 12","High","Yes","12","09","MARSHALLTOWN COMM SCHOOL DISTRICT","MARSHALLTOWN HIGH SCHOOL","public","2017","0","1","0","IA","1451","Yes"
"PK - 04","Elementary","No","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","ROGERS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","249","No"
"PK - 04","Elementary","Unknown","04","PK","MARSHALLTOWN COMM SCHOOL DISTRICT","WOODBURY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","378",
"PK - 06","Elementary","Unknown","06","PK","MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT","MARTENSDALE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","313",
"07 - 12","Mixed","Yes","12","07","MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT","MARTENSDALE-ST MARYS JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","262","HY"
"09 - 12","High","No","12","09","MASON CITY COMM SCHOOL DISTRICT","ALTERNATIVE SCHOOL","public","2017","0","1","0","IA","80","HN"
"PK - 04","Elementary","Yes","04","PK","MASON CITY COMM SCHOOL DISTRICT","HARDING ELEMENTARY SCHOOL","public","2017","1","0","0","IA","360","Yes"
"PK - 04","Elementary","Unknown","04","PK","MASON CITY COMM SCHOOL DISTRICT","HOOVER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","446",
"PK - 04","Elementary","Unknown","04","PK","MASON CITY COMM SCHOOL DISTRICT","JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","435",
"07 - 08","Middle","Unknown","08","07","MASON CITY COMM SCHOOL DISTRICT","JOHN ADAMS MIDDLE SCHOOL","public","2017","0","0","1","IA","569",
"05 - 06","Mixed","Unknown","06","05","MASON CITY COMM SCHOOL DISTRICT","LINCOLN INTERMEDIATE","public","2017","1","0","1","IA","544",
"09 - 12","High","No","12","09","MASON CITY COMM SCHOOL DISTRICT","MASON CITY HIGH SCHOOL","public","2017","0","1","0","IA","1000","No"
"PK - 04","Elementary","Unknown","04","PK","MASON CITY COMM SCHOOL DISTRICT","ROOSEVELT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","486",
"PK - 05","Elementary","Unknown","05","PK","MEDIAPOLIS COMM SCHOOL DISTRICT","MEDIAPOLIS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","395",
"09 - 12","High","No","12","09","MEDIAPOLIS COMM SCHOOL DISTRICT","MEDIAPOLIS HIGH SCHOOL","public","2017","0","1","0","IA","289","HN"
"06 - 08","Middle","No","08","06","MEDIAPOLIS COMM SCHOOL DISTRICT","MIDDLE SCHOOL","public","2017","0","0","1","IA","174","No"
"PK - 05","Elementary","Yes","05","PK","MELCHER-DALLAS COMM SCHOOL DISTRICT","MELCHER-DALLAS ELEM","public","2017","1","0","0","IA","232","Yes"
"09 - 12","High","No","12","09","MELCHER-DALLAS COMM SCHOOL DISTRICT","MELCHER-DALLAS HIGH SCHOOL","public","2017","0","1","0","IA","89","HN"
"06 - 08","Middle","Unknown","08","06","MELCHER-DALLAS COMM SCHOOL DISTRICT","MELCHER-DALLAS JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","66",
"KG - 11","Mixed","No","11","KG","MESKWAKI SETTLEMENT SCHOOL","MESKWAKI SETTLEMENT SCHOOL","public","2017","1","1","1","IA","","HN"
"04 - 05","Elementary","Unknown","05","04","MFL MARMAC COMM SCHOOL DISTRICT","MCGREGOR INTERMEDIATE SCHOOL","public","2017","1","0","0","IA","112",
"PK - 03","Elementary","Unknown","03","PK","MFL MARMAC COMM SCHOOL DISTRICT","MFL MARMAC ELEMENTARY SCHOOL","public","2017","1","0","0","IA","316",
"09 - 12","High","No","12","09","MFL MARMAC COMM SCHOOL DISTRICT","MFL MARMAC HS","public","2017","0","1","0","IA","218","HN"
"06 - 08","Middle","Unknown","08","06","MFL MARMAC COMM SCHOOL DISTRICT","MFL MARMAC MIDDLE SCHOOL","public","2017","0","0","1","IA","162",
"PK - 05","Elementary","Unknown","05","PK","MIDLAND COMM SCHOOL DISTRICT","MIDLAND ELEMENTARY","public","2017","1","0","0","IA","244",
"06 - 12","Mixed","Yes","12","06","MIDLAND COMM SCHOOL DISTRICT","MIDLAND MIDDLE/HIGH SCHOOL","public","2017","0","1","1","IA","256","HY"
"09 - 12","High","No","12","09","MID-PRAIRIE COMM SCHOOL DISTRICT","ALTERNTIVE LEARNING CENT","public","2017","0","1","0","IA","16","HN"
"PK - 05","Elementary","Unknown","05","PK","MID-PRAIRIE COMM SCHOOL DISTRICT","KALONA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","293",
"09 - 12","High","Yes","12","09","MID-PRAIRIE COMM SCHOOL DISTRICT","MID-PRAIRIE HIGH SCHOOL","public","2017","0","1","0","IA","343","HY"
"06 - 08","Middle","No","08","06","MID-PRAIRIE COMM SCHOOL DISTRICT","MID-PRAIRIE MIDDLE SCHOOL","public","2017","0","0","1","IA","290","No"
"PK - 05","Elementary","Unknown","05","PK","MID-PRAIRIE COMM SCHOOL DISTRICT","WASHINGTON TOWNSHIP ELEMENTARY SCHOOL","public","2017","1","0","0","IA","100",
"PK - 05","Elementary","Unknown","05","PK","MID-PRAIRIE COMM SCHOOL DISTRICT","WELLMAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","284",
"PK - 05","Elementary","Inconsistent","05","PK","MISSOURI VALLEY COMM SCHOOL DISTRICT","MISSOURI VALLEY ELEMENTARY","public","2017","1","0","0","IA","341","Inconsistent"
"09 - 12","High","Yes","12","09","MISSOURI VALLEY COMM SCHOOL DISTRICT","MISSOURI VALLEY HIGH SCHOOL","public","2017","0","1","0","IA","260","HY"
"06 - 08","Middle","Yes","08","06","MISSOURI VALLEY COMM SCHOOL DISTRICT","MISSOURI VALLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","183","Yes"
"PK - 05","Elementary","Unknown","05","PK","MOC-FLOYD VALLEY COMM SCHOOL DISTRICT","HOSPERS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","248",
"09 - 12","High","Yes","12","09","MOC-FLOYD VALLEY COMM SCHOOL DISTRICT","MOC-FLOYD VALLEY HIGH SCHOOL","public","2017","0","1","0","IA","422","Yes"
"06 - 08","Middle","Yes","08","06","MOC-FLOYD VALLEY COMM SCHOOL DISTRICT","MOC-FLOYD VALLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","274","Yes"
"PK - 05","Elementary","Unknown","05","PK","MOC-FLOYD VALLEY COMM SCHOOL DISTRICT","ORANGE CITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","436",
"PK - 06","Elementary","No","06","PK","MONTEZUMA COMM SCHOOL DISTRICT","MONTEZUMA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","301","No"
"09 - 12","High","Yes","12","09","MONTEZUMA COMM SCHOOL DISTRICT","MONTEZUMA HIGH SCHOOL","public","2017","0","1","0","IA","158","Yes"
"07 - 08","Middle","Unknown","08","07","MONTEZUMA COMM SCHOOL DISTRICT","MONTEZUMA JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","79",
"02 - 04","Elementary","Yes","04","02","MONTICELLO COMM SCHOOL DISTRICT","CARPENTER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","240","Yes"
"09 - 12","High","Yes","12","09","MONTICELLO COMM SCHOOL DISTRICT","MONTICELLO HIGH SCHOOL","public","2017","0","1","0","IA","355","HY"
"05 - 08","Mixed","Unknown","08","05","MONTICELLO COMM SCHOOL DISTRICT","MONTICELLO MIDDLE SCHOOL","public","2017","1","0","1","IA","340",
"PK - 01","Elementary","Unknown","01","PK","MONTICELLO COMM SCHOOL DISTRICT","SHANNON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","174",
"PK - 06","Elementary","Unknown","06","PK","MORAVIA COMM SCHOOL DISTRICT","MORAVIA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","230",
"07 - 12","Mixed","No","12","07","MORAVIA COMM SCHOOL DISTRICT","MORAVIA HIGH SCHOOL","public","2017","0","1","1","IA","170","HN"
"PK - 06","Elementary","Unknown","06","PK","MORMON TRAIL COMM SCHOOL DISTRICT","MORMON TRAIL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","141",
"07 - 12","Mixed","No","12","07","MORMON TRAIL COMM SCHOOL DISTRICT","MORMON TRAIL JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","97","HN"
"PK - 06","Elementary","Unknown","06","PK","MORNING SUN COMM SCHOOL DISTRICT","MORNING SUN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","129",
"PK - 06","Elementary","Unknown","06","PK","MOULTON-UDELL COMM SCHOOL DISTRICT","MOULTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","141",
"07 - 12","Mixed","No","12","07","MOULTON-UDELL COMM SCHOOL DISTRICT","MOULTON-UDELL HIGH SCHOOL","public","2017","0","1","1","IA","82","HN"
"PK - 06","Elementary","Unknown","06","PK","MOUNT AYR COMM SCHOOL DISTRICT","MOUNT AYR ELEMENTARY","public","2017","1","0","0","IA","348",
"07 - 12","Mixed","No","12","07","MOUNT AYR COMM SCHOOL DISTRICT","MOUNT AYR HIGH SCHOOL","public","2017","0","1","1","IA","281","HN"
"KG - 05","Elementary","Unknown","05","KG","MOUNT PLEASANT COMM SCHOOL DISTRICT","HARLAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","220",
"KG - 05","Elementary","Unknown","05","KG","MOUNT PLEASANT COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","270",
"09 - 12","High","No","12","09","MOUNT PLEASANT COMM SCHOOL DISTRICT","MOUNT PLEASANT HIGH SCHOOL","public","2017","0","1","0","IA","641","No"
