"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"","Mixed","Unknown","","","COLO-NESCO SCHOOL COMM SCHOOL DISTRICT","COLO-NESCO SOUTH EARLY LEARNING CENTER","public","2017","","","","IA","",
"09 - 12","High","No","12","09","COLUMBUS COMM SCHOOL DISTRICT","COLUMBUS COMMUNITY HIGH SCHOOL","public","2017","0","1","0","IA","246","HN"
"07 - 08","Middle","Unknown","08","07","COLUMBUS COMM SCHOOL DISTRICT","COLUMBUS COMMUNITY JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","108",
"PK - 06","Elementary","Unknown","06","PK","COLUMBUS COMM SCHOOL DISTRICT","ROUNDY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","439",
"05 - 12","Mixed","Yes","12","05","COON RAPIDS-BAYARD COMM SCHOOL DISTRICT","COON RAPIDS-BAYARD 5-12 ATTENDANCE CENTER","public","2017","1","1","1","IA","240","Yes"
"PK - 04","Elementary","Unknown","04","PK","COON RAPIDS-BAYARD COMM SCHOOL DISTRICT","CR-B ELEMENTARY SCHOOL","public","2017","1","0","0","IA","174",
"PK - 05","Elementary","Unknown","05","PK","CORNING COMM SCHOOL DISTRICT","CORNING ELEMENTARY SCHOOL","public","2017","1","0","0","IA","228",
"09 - 12","High","No","12","09","CORNING COMM SCHOOL DISTRICT","CORNING HIGH SCHOOL","public","2017","0","1","0","IA","226","HN"
"","Mixed","Unknown","","","CORNING COMM SCHOOL DISTRICT","CORNING JUNIOR HIGH SCHOOL","public","2017","","","","IA","",
"07 - 12","Mixed","No","12","07","CORWITH-WESLEY COMM SCHOOL DISTRICT","CORWITH-WESLEY HIGH SCHOOL","public","2017","0","1","1","IA","58","HN"
"09 - 12","High","Yes","12","09","COUNCIL BLUFFS COMM SCHOOL DISTRICT","ABRAHAM LINCOLN HIGH SCHOOL","public","2017","0","1","0","IA","1290","HY"
"PK - 05","Elementary","Yes","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","BLOOMER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","476","Yes"
"PK - 05","Elementary","Unknown","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","CARTER LAKE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","414",
"PK - 05","Elementary","Yes","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","COLLEGE VIEW ELEMENTARY","public","2017","1","0","0","IA","511","Yes"
"PK - 05","Elementary","No","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","CRESCENT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","110","No"
"PK - 05","Elementary","Unknown","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","EDISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","446",
"PK - 05","Elementary","Unknown","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","FRANKLIN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","553",
"06 - 08","Middle","Yes","08","06","COUNCIL BLUFFS COMM SCHOOL DISTRICT","GERALD W KIRN MIDDLE SCHOOL","public","2017","0","0","1","IA","986","Yes"
"PK - 05","Elementary","Yes","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","HOOVER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","523","Yes"
"PK - 05","Elementary","Yes","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","LEWIS & CLARK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","207","Yes"
"PK - 05","Elementary","No","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","LONGFELLOW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","573","No"
"PK - 05","Elementary","No","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","ROOSEVELT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","485","No"
"PK - 05","Elementary","Unknown","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","RUE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","357",
"09 - 12","High","Yes","12","09","COUNCIL BLUFFS COMM SCHOOL DISTRICT","THOMAS JEFFERSON HIGH SCHOOL","public","2017","0","1","0","IA","1278","Yes"
"PK - 05","Elementary","Unknown","05","PK","COUNCIL BLUFFS COMM SCHOOL DISTRICT","WALNUT GROVE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","",
"06 - 08","Middle","Yes","08","06","COUNCIL BLUFFS COMM SCHOOL DISTRICT","WOODROW WILSON MIDDLE SCHOOL","public","2017","0","0","1","IA","908","Yes"
"PK - KG","Elementary","Unknown","KG","PK","CRESTON COMM SCHOOL DISTRICT","CRESTON EARLY CHILDHOOD CENTER","public","2017","1","0","0","IA","120",
"01 - 05","Elementary","Yes","05","01","CRESTON COMM SCHOOL DISTRICT","CRESTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","537","Yes"
"09 - 12","High","No","12","09","CRESTON COMM SCHOOL DISTRICT","CRESTON HIGH SCHOOL","public","2017","0","1","0","IA","492","HN"
"06 - 08","Middle","Unknown","08","06","CRESTON COMM SCHOOL DISTRICT","CRESTON MIDDLE SCHOOL","public","2017","0","0","1","IA","294",
"","Mixed","Unknown","","","CRESTON COMM SCHOOL DISTRICT","HIGH LAKES CNTRY ACADEMY HIGH SCHOOL","public","2017","","","","IA","",
"KG - 05","Elementary","Unknown","05","KG","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","DALLAS CENTER ELEMENTARY","public","2017","1","0","0","IA","405",
"10 - 12","High","Yes","12","10","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","DALLAS CENTER-GRIMES HIGH SCHOOL","public","2017","0","1","0","IA","550","HY"
"06 - 07","Middle","Unknown","07","06","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","DALLAS CENTER-GRIMES MIDDLE SCHOOL","public","2017","0","0","1","IA","377",
"08 - 09","Mixed","Yes","09","08","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","DC-G MEADOWS","public","2017","0","1","1","IA","367","HY"
"03 - 04","Elementary","No","04","03","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","NORTH RIDGE ELEMENTARY","public","2017","1","0","0","IA","435","No"
"KG - 02","Elementary","Unknown","02","KG","DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT","SOUTH PRAIRIE ELEMENTARY","public","2017","1","0","0","IA","558",
"PK - 06","Elementary","Unknown","06","PK","DANVILLE COMM SCHOOL DISTRICT","DANVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","363",
"07 - 12","Mixed","Yes","12","07","DANVILLE COMM SCHOOL DISTRICT","DANVILLE JUNIOR-SENIOR HIGH SCHOOL","public","2017","0","1","1","IA","301","HY"
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","ADAMS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","577",
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","BLUE GRASS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","309",
"PK - 05","Elementary","No","05","PK","DAVENPORT COMM SCHOOL DISTRICT","BUCHANAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","383","No"
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","BUFFALO ELEMENTARY SCHOOL","public","2017","1","0","0","IA","269",
"09 - 12","High","Yes","12","09","DAVENPORT COMM SCHOOL DISTRICT","CENTRAL HIGH SCHOOL","public","2017","0","1","0","IA","1383","HY"
"PK - PK","PK","Unknown","PK","PK","DAVENPORT COMM SCHOOL DISTRICT","CHILDREN'S VILLAGE AT HOOVER","public","2017","1","0","0","IA","100",
"PK - PK","PK","Unknown","PK","PK","DAVENPORT COMM SCHOOL DISTRICT","CHILDREN'S VILLAGE BUCHANAN","public","2017","1","0","0","IA","",
"PK - PK","PK","Unknown","PK","PK","DAVENPORT COMM SCHOOL DISTRICT","CHILDREN'S VILLAGE HAYES","public","2017","1","0","0","IA","31",
"PK - PK","PK","Unknown","PK","PK","DAVENPORT COMM SCHOOL DISTRICT","CHILDRENS VILLAGE LINCOLN","public","2017","1","0","0","IA","56",
"PK - PK","PK","Unknown","PK","PK","DAVENPORT COMM SCHOOL DISTRICT","CHILDREN'S VILLAGE WEST","public","2017","1","0","0","IA","164",
"KG - 12","Mixed","No","12","KG","DAVENPORT COMM SCHOOL DISTRICT","DAVENPORT LEARNING CENTER","public","2017","1","1","1","IA","","HN"
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","EISENHOWER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","459",
"KG - 05","Elementary","Yes","05","KG","DAVENPORT COMM SCHOOL DISTRICT","FILLMORE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","418","Yes"
"06 - 08","Middle","Yes","08","06","DAVENPORT COMM SCHOOL DISTRICT","FRANK L SMART INTERMEDIATE","public","2017","0","0","1","IA","494","Yes"
"KG - 05","Elementary","Yes","05","KG","DAVENPORT COMM SCHOOL DISTRICT","GARFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","408","Yes"
"KG - 05","Elementary","Yes","05","KG","DAVENPORT COMM SCHOOL DISTRICT","HARRISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","540","Yes"
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","HARRY S TRUMAN SCHOOL","public","2017","1","0","0","IA","436",
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","HAYES ELEMENTARY SCHOOL","public","2017","1","0","0","IA","412",
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","JACKSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","336",
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","JB YOUNG ELEMENTARY","public","2017","1","0","0","IA","98",
"06 - 08","Middle","Unknown","08","06","DAVENPORT COMM SCHOOL DISTRICT","JB YOUNG INTERMEDIATE","public","2017","0","0","1","IA","308",
"PK - 05","Elementary","Unknown","05","PK","DAVENPORT COMM SCHOOL DISTRICT","JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","483",
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","MADISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","390",
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","MCKINLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","401",
"09 - 12","High","No","12","09","DAVENPORT COMM SCHOOL DISTRICT","MID CITY HIGH","public","2017","0","1","0","IA","196","HN"
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","MONROE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","480",
"09 - 12","High","Yes","12","09","DAVENPORT COMM SCHOOL DISTRICT","NORTH HIGH SCHOOL","public","2017","0","1","0","IA","1077","HY"
"06 - 08","Middle","Yes","08","06","DAVENPORT COMM SCHOOL DISTRICT","SUDLOW INTERMEDIATE","public","2017","0","0","1","IA","711","Yes"
"KG - 05","Elementary","Unknown","05","KG","DAVENPORT COMM SCHOOL DISTRICT","WALCOTT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","204",
"06 - 08","Middle","Unknown","08","06","DAVENPORT COMM SCHOOL DISTRICT","WALCOTT INTERMEDIATE","public","2017","0","0","1","IA","386",
"KG - 05","Elementary","Yes","05","KG","DAVENPORT COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","285","Yes"
"09 - 12","High","Yes","12","09","DAVENPORT COMM SCHOOL DISTRICT","WEST HIGH SCHOOL","public","2017","0","1","0","IA","1828","Yes"
"06 - 08","Middle","Unknown","08","06","DAVENPORT COMM SCHOOL DISTRICT","WILLIAMS INTERMEDIATE","public","2017","0","0","1","IA","721",
"PK - 05","Elementary","No","05","PK","DAVENPORT COMM SCHOOL DISTRICT","WILSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","524","No"
"06 - 08","Middle","Yes","08","06","DAVENPORT COMM SCHOOL DISTRICT","WOOD INTERMEDIATE","public","2017","0","0","1","IA","702","Yes"
"09 - 12","High","Yes","12","09","DAVIS COUNTY COMM SCHOOL DISTRICT","DAVIS COUNTY COMMUNITY HIGH SCHOOL","public","2017","0","1","0","IA","363","Yes"
"PK - 04","Elementary","Unknown","04","PK","DAVIS COUNTY COMM SCHOOL DISTRICT","DAVIS COUNTY ELEMENTARY","public","2017","1","0","0","IA","542",
"05 - 08","Mixed","Yes","08","05","DAVIS COUNTY COMM SCHOOL DISTRICT","DAVIS COUNTY MIDDLE SCHOOL","public","2017","1","0","1","IA","342","Yes"
"07 - 12","Mixed","No","12","07","DAVIS COUNTY COMM SCHOOL DISTRICT","FLEX ED HIGH SCHOOL","public","2017","0","1","1","IA","5","HN"
"03 - 04","Elementary","Yes","04","03","DECORAH COMMUNITY SCHOOL DISTRICT","CARRIE LEE ELEMENTARY","public","2017","1","0","0","IA","224","Yes"
"09 - 12","High","Yes","12","09","DECORAH COMMUNITY SCHOOL DISTRICT","DECORAH HIGH SCHOOL","public","2017","0","1","0","IA","572","Yes"
"05 - 08","Mixed","Yes","08","05","DECORAH COMMUNITY SCHOOL DISTRICT","DECORAH MIDDLE SCHOOL","public","2017","1","0","1","IA","480","Yes"
"KG - 02","Elementary","Unknown","02","KG","DECORAH COMMUNITY SCHOOL DISTRICT","JOHN CLINE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","334",
"PK - KG","Elementary","Unknown","KG","PK","DECORAH COMMUNITY SCHOOL DISTRICT","WEST SIDE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","79",
"PK - 06","Elementary","Yes","06","PK","DELWOOD COMM SCHOOL DISTRICT","DELWOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","172","Yes"
"04 - 05","Elementary","No","05","04","DENISON COMM SCHOOL DISTRICT","BROADWAY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","297","No"
"09 - 12","High","No","12","09","DENISON COMM SCHOOL DISTRICT","DENISON ALTERNATIVE HIGH SCHOOL","public","2017","0","1","0","IA","39","HN"
"PK - 03","Elementary","Unknown","03","PK","DENISON COMM SCHOOL DISTRICT","DENISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","719",
"09 - 12","High","No","12","09","DENISON COMM SCHOOL DISTRICT","DENISON HIGH SCHOOL","public","2017","0","1","0","IA","712","HN"
"06 - 08","Middle","Yes","08","06","DENISON COMM SCHOOL DISTRICT","DENISON MIDDLE SCHOOL","public","2017","0","0","1","IA","457","Yes"
"PK - KG","Elementary","Unknown","KG","PK","DENVER COMM SCHOOL DISTRICT","DENVER EARLY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","50",
"06 - 08","Middle","Unknown","08","06","DENVER COMM SCHOOL DISTRICT","DENVER MIDDLE SCHOOL","public","2017","0","0","1","IA","170",
"09 - 12","High","Yes","12","09","DENVER COMM SCHOOL DISTRICT","DENVER SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","214","HY"
"KG - 05","Elementary","Unknown","05","KG","DENVER COMM SCHOOL DISTRICT","K-5 ELEMENTARY SCHOOL LINCOLN STREET BUILDING","public","2017","1","0","0","IA","333",
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","BRODY MIDDLE SCHOOL","public","2017","0","0","1","IA","736","Yes"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","BRUBAKER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","704",
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","CALLANAN MIDDLE SCHOOL","public","2017","0","0","1","IA","572","Yes"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","CAPITOL VIEW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","597",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","CARVER ELEMENTARY","public","2017","1","0","0","IA","577",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","CATTELL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","396",
"PK - 08","Mixed","Unknown","08","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","COWLES ELEMENTARY SCHOOL","public","2017","1","0","1","IA","399",
"07 - 12","Mixed","Yes","12","07","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","DES MOINES CENTRAL CAMPUS HIGH SCHOOL","public","2017","0","1","1","IA","2","Yes"
"KG - 06","Elementary","Yes","06","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","DOWNTOWN SCHOOL","public","2017","1","0","0","IA","267","Yes"
"09 - 12","High","Yes","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","EAST HIGH SCHOOL","public","2017","0","1","0","IA","2291","Yes"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","EDMUNDS FINE ARTS ACADEMY","public","2017","1","0","0","IA","435",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","FINDLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","342",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","GARTON ELEMENTARY","public","2017","1","0","0","IA","624",
"06 - 12","Mixed","Unknown","12","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","GATEWAY SECONDARY SCHOOL","public","2017","0","1","1","IA","",
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","GOODRELL MIDDLE SCHOOL","public","2017","0","0","1","IA","633","Yes"
"PK - 05","Elementary","Yes","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","GREENWOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","385","Yes"
"PK - 05","Elementary","Yes","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HANAWALT ELEMENTARY","public","2017","1","0","0","IA","373","Yes"
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HARDING MIDDLE SCHOOL","public","2017","0","0","1","IA","767","Yes"
"06 - 08","Middle","Unknown","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HIATT MIDDLE SCHOOL","public","2017","0","0","1","IA","551",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HILLIS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","534",
"09 - 12","High","No","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HOOVER HIGH SCHOOL","public","2017","0","1","0","IA","1021","HN"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HOWE ELEMENTARY","public","2017","1","0","0","IA","298",
"06 - 08","Middle","Unknown","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HOYT MIDDLE SCHOOL","public","2017","0","0","1","IA","488",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","HUBBELL ELEMENTARY","public","2017","1","0","0","IA","430",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","JACKSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","435",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","425",
"PK - PK","PK","Unknown","PK","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","JESSIE FRANKLIN TAYLOR","public","2017","1","0","0","IA","207",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","KING ELEMENTARY SCHOOL","public","2017","1","0","0","IA","376",
"09 - 12","High","No","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","LINCOLN HIGH SCHOOL","public","2017","0","1","0","IA","2171","HN"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","LOVEJOY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","380",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MADISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","346",
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MCCOMBS MIDDLE SCHOOL","public","2017","0","0","1","IA","662","Yes"
"PK - PK","PK","Unknown","PK","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MCKEE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","208",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MCKINLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","359",
"06 - 08","Middle","Yes","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MEREDITH MIDDLE SCHOOL","public","2017","0","0","1","IA","713","Yes"
"06 - 08","Middle","Unknown","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MERRILL MIDDLE SCHOOL","public","2017","0","0","1","IA","718",
"PK - PK","PK","Unknown","PK","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MITCHELL EARLY CHILDHOOD CENTER","public","2017","1","0","0","IA","375",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MONROE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","536",
"PK - 05","Elementary","Yes","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MORRIS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","595","Yes"
"PK - 05","Elementary","No","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","MOULTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","473","No"
"09 - 12","High","Yes","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","NORTH HIGH SCHOOL","public","2017","0","1","0","IA","1198","Yes"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","OAK PARK","public","2017","1","0","0","IA","406",
"KG - 12","Mixed","No","12","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","ORCHARD PLACE SCHOOL","public","2017","1","1","1","IA","95","HN"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","PARK AVE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","424",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","PERKINS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","464",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","PHILLIPS ELEMENTARY","public","2017","1","0","0","IA","387",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","PLEASANT HILL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","309",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","RIVER WOODS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","545",
"09 - 12","High","Yes","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","ROOSEVELT HIGH SCHOOL","public","2017","0","1","0","IA","1827","Yes"
"06 - 12","Mixed","No","12","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","RUBY VAN METER SCHOOL","public","2017","0","1","1","IA","158","HN"
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","SAMUELSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","527",
"09 - 12","High","No","12","09","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","SCAVO ALTERNATIVE HIGH SCHOOL","public","2017","0","1","0","IA","359","HN"
"PK - 08","Mixed","Unknown","08","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","SMOUSE OPPORTUNITY SCHOOL","public","2017","1","0","1","IA","109",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","SOUTH UNION ELEMENTARY SCHOOL","public","2017","1","0","0","IA","520",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","STOWE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","365",
"KG - 05","Elementary","Unknown","05","KG","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","STUDEBAKER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","452",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WALNUT STREET SCHOOL","public","2017","1","0","0","IA","283",
"06 - 08","Middle","Unknown","08","06","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WEEKS MIDDLE SCHOOL","public","2017","0","0","1","IA","670",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WILLARD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","429",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WINDSOR ELEMENTARY","public","2017","1","0","0","IA","360",
"PK - PK","PK","Unknown","PK","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WOODLAWN EARLY CHILDHOOD CENTER","public","2017","1","0","0","IA","232",
"PK - 05","Elementary","Unknown","05","PK","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT","WRIGHT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","289",
"PK - 05","Elementary","Unknown","05","PK","DIAGONAL COMM SCHOOL DISTRICT","DIAGONAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","64",
"06 - 12","Mixed","No","12","06","DIAGONAL COMM SCHOOL DISTRICT","DIAGONAL JUNIOR-SENIOR HIGH SCHOOL","public","2017","0","1","1","IA","56","HN"
"PK - 04","Elementary","Unknown","04","PK","DIKE-NEW HARTFORD COMM SCHOOL DISTRICT","DIKE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","311",
"09 - 12","High","Yes","12","09","DIKE-NEW HARTFORD COMM SCHOOL DISTRICT","DIKE-NEW HARTFORD HIGH SCHOOL","public","2017","0","1","0","IA","249","Yes"
"06 - 08","Middle","Yes","08","06","DIKE-NEW HARTFORD COMM SCHOOL DISTRICT","DIKE-NEW HARTFORD JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","195","Yes"
"PK - 05","Elementary","Unknown","05","PK","DIKE-NEW HARTFORD COMM SCHOOL DISTRICT","NEW HARTFORD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","152",
"PK - 03","Elementary","Unknown","03","PK","DOWS COMM SCHOOL DISTRICT","DOWS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","",
